FID,kmlgeometry
0.0,"<LineString><coordinates>-16.429254003699999,15.634088344 -16.429545267799998,15.634393748100001</coordinates></LineString>"
1.0,"<LineString><coordinates>-16.366210602399999,15.677648834699999 -16.366681752800002,15.676949930199999</coordinates></LineString>"
2.0,"<LineString><coordinates>-16.3899216555,15.6466604644 -16.389104912400001,15.645888337600001</coordinates></LineString>"
3.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448697856599999,15.714301342600001</coordinates></LineString>"
4.0,"<LineString><coordinates>-16.44896518,15.715158194600001 -16.448978349299999,15.717019969300001</coordinates></LineString>"
5.0,"<LineString><coordinates>-16.500452696699998,15.629627103100001 -16.497855316399999,15.630286552699999</coordinates></LineString>"
6.0,"<LineString><coordinates>-16.4917893157,15.6850894965 -16.489877187800001,15.682571876800001</coordinates></LineString>"
7.0,"<LineString><coordinates>-16.400752815200001,15.6564614269 -16.397095154900001,15.657695926800001</coordinates></LineString>"
8.0,"<LineString><coordinates>-16.468277819699999,15.735672178 -16.4715683732,15.737773945800001</coordinates></LineString>"
9.0,"<LineString><coordinates>-16.424253694899999,15.7602588819 -16.4252544233,15.7565466675</coordinates></LineString>"
10.0,"<LineString><coordinates>-16.547009055699998,15.733293224 -16.550202856199999,15.729926563399999</coordinates></LineString>"
11.0,"<LineString><coordinates>-16.5437376151,15.627094463300001 -16.545470722600001,15.6281216216</coordinates></LineString>"
12.0,"<LineString><coordinates>-16.5475796775,15.6233076404 -16.545470722600001,15.6281216216</coordinates></LineString>"
